"Timestamp","ChunkIndex","BytesProcessed","TotalMBRead","ThroughputMBps","CPUUsagePercent","ManagedMemoryMB","ElapsedTimeMs"
"2026-09-02 10:13:27.331","1","67108864","64","64","41.48","323.69","25"
"2026-09-02 10:13:27.349","2","67108864","128","128","15.58","323.82","38"
"2026-09-02 10:13:27.362","3","67108864","192","192","29.9","323.84","51"
"2026-09-02 10:13:27.375","4","67108864","256","256","0","323.86","64"
"2026-09-02 10:13:27.388","5","67108864","320","320","19.86","323.89","78"
"2026-09-02 10:13:27.402","6","67108864","384","384","0","323.91","92"
"2026-09-02 10:13:27.415","7","67108864","448","448","44.5","323.93","105"
"2026-09-02 10:13:27.429","8","67108864","512","512","35.01","323.96","119"
"2026-09-02 10:13:27.443","9","67108864","576","576","49.63","323.97","133"
"2026-09-02 10:13:27.457","10","67108864","640","640","0","324","147"
"2026-09-02 10:13:27.471","11","67108864","704","704","0","324.02","161"
"2026-09-02 10:13:27.485","12","67108864","768","768","13.4","324.04","175"
"2026-09-02 10:13:27.498","13","67108864","832","832","0","324.07","188"
"2026-09-02 10:13:27.512","14","67108864","896","896","46.21","324.09","202"
"2026-09-02 10:13:27.526","15","67108864","960","960","3.91","324.11","216"
"2026-09-02 10:13:27.540","16","67108864","1024","1024","19.5","324.14","230"
"2026-09-02 10:13:27.554","17","67108864","1088","1088","33.47","324.29","244"
"2026-09-02 10:13:27.568","18","67108864","1152","1152","52.58","324.32","258"
"2026-09-02 10:13:27.581","19","67108864","1216","1216","0","324.34","271"
"2026-09-02 10:13:27.594","20","67108864","1280","1280","0","324.36","284"
"2026-09-02 10:13:27.607","21","67108864","1344","1344","32.81","324.39","297"
"2026-09-02 10:13:27.620","22","67108864","1408","1408","0","324.41","309"
"2026-09-02 10:13:27.633","23","67108864","1472","1472","100","324.43","322"
"2026-09-02 10:13:27.646","24","67108864","1536","1536","0","324.46","335"
"2026-09-02 10:13:27.659","25","67108864","1600","1600","0","324.48","348"
"2026-09-02 10:13:27.671","26","67108864","1664","1664","0","324.5","361"
"2026-09-02 10:13:27.684","27","67108864","1728","1728","9.86","324.52","374"
"2026-09-02 10:13:27.697","28","67108864","1792","1792","20.03","324.54","387"
"2026-09-02 10:13:27.710","29","67108864","1856","1856","79.26","324.57","400"
"2026-09-02 10:13:27.723","30","67108864","1920","1920","10.05","324.59","413"
"2026-09-02 10:13:27.736","31","67108864","1984","1984","0","324.61","426"
"2026-09-02 10:13:27.749","32","67108864","2048","2048","6.58","324.64","439"
"2026-09-02 10:13:27.763","33","67108864","2112","2112","53.58","324.68","453"
"2026-09-02 10:13:27.776","34","67108864","2176","2176","0","324.7","466"
"2026-09-02 10:13:27.789","35","67108864","2240","2240","100","324.72","479"
"2026-09-02 10:13:27.802","36","67108864","2304","2304","0","324.75","492"
"2026-09-02 10:13:27.815","37","67108864","2368","2368","0","324.77","504"
"2026-09-02 10:13:27.828","38","67108864","2432","2432","0.08","324.8","518"
"2026-09-02 10:13:27.841","39","67108864","2496","2496","0","324.82","530"
"2026-09-02 10:13:27.854","40","67108864","2560","2560","50.01","324.84","543"
"2026-09-02 10:13:27.867","41","67108864","2624","2624","60.45","324.87","556"
"2026-09-02 10:13:27.879","42","67108864","2688","2688","2.13","324.89","569"
"2026-09-02 10:13:27.892","43","67108864","2752","2752","0","324.91","582"
"2026-09-02 10:13:27.905","44","67108864","2816","2816","0","324.93","594"
"2026-09-02 10:13:27.915","45","52697271","2866.26","2866.26","28.04","324.95","604"
